Ticker,Category Name,Family,Legal Type,Annual Report Expense Ratio,Annual Holdings Turnover,Total Net Assets,Cash Position,Stock Position,Bond Position,Preferred Position,Convertible Position,Other Position,Price/Earnings,Price/Book,Price/Sales,Price/Cashflow,Median Market Cap,3 Year Earnings Growth,Duration,Maturity,Credit Quality,Bb,Aa,Aaa,A,Other,B,Bbb,Below B,Us Government,Realestate,Consumer Cyclical,Basic Materials,Consumer Defensive,Technology,Communication Services,Financial Services,Utilities,Industrials,Energy,Healthcare,Top Position 1,Top Position 2,Top Position 3,Top Position 4,Top Position 5,Top Position 6,Top Position 7,Top Position 8,Top Position 9,Top Position 10,Weight of Top Position 1,Weight of Top Position 2,Weight of Top Position 3,Weight of Top Position 4,Weight of Top Position 5,Weight of Top Position 6,Weight of Top Position 7,Weight of Top Position 8,Weight of Top Position 9,Weight of Top Position 10,Ticker
ADVE,Diversified Pacific/Asia,Matthews Asia Funds,Exchange Traded Fund,0.007900001,0.3762,61857.11,0.0517,0.938,0.0,0.0,0.0,0.010299999,0.07358,0.59423,0.6361,0.1617,,,,,,,,,,,,,,0.0,0.0248,0.1241,0.0308,0.070300005,0.187,0.1321,0.24700001,0.0143,0.124,0.0105,0.035099998,TSM,0700.HK,8001.T,086790.KS,1299.HK,6701.T,000333.SZ,TCS.NS,HDB,6758.T,7.37,4.82,2.35,2.07,1.96,1.92,1.89,1.86,1.8,1.77,ADVE
AESR,Large Blend,Anfield,Exchange Traded Fund,0.0117999995,0.61,160479.16,0.0014,0.99,0.0,0.0,0.0,0.0086,0.04475,0.27053,0.42317,0.07109,,,,,,,,,,,,,,0.0,0.0032,0.1998,0.0027,0.0884,0.1841,0.34939998,0.1361,0.0037,0.0136,0.0045,0.0145000005,XLC,SPY,IGV,ARKW,IYG,VCR,VDC,XLY,IYC,KBWB,22.56,14.76,10.42,8.01,7.36,5.16,4.5,3.93,3.49,2.83,AESR
AETH,Digital Assets,Bitwise Investments,Exchange Traded Fund,0.0089,0.0,0.0,0.6659,0.0,0.0,0.0,0.0,0.3341,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.4076,,,,,,,,,,,,ICAXX,,,,,,,,,,25.76,,,,,,,,,,AETH
AFIF,Multisector Bond,Regents Park Funds,Exchange Traded Fund,0.0111,0.49,0.0,0.0508,0.0,0.7936,0.15560001,0.0,0.0,0.0,0.0,0.0,0.0,,,5.48,9.49,,,,,,,,,,0.0633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,AFIF
AFIX,Intermediate Core Bond,Allspring Global Investments,Exchange Traded Fund,0.0019,0.0,0.0,0.0713,0.0,0.92870003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.27,9.551,,,,,,,,,,0.1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFIX
AFK,Miscellaneous Region,VanEck,Exchange Traded Fund,0.0088,0.44,8832.59,0.0055,0.9945,0.0,0.0,0.0,0.0,0.10684,0.58605,0.55642,0.13821,,,,,,,,,,,,,,0.0,0.002,0.1196,0.31350002,0.018099999,0.0,0.1321,0.32650003,0.0015,0.0363,0.0421,0.0083,NPN.JO,AAF.L,AAL.L,ABX.TO,AU,PRU.AX,IVN.TO,GTCO,,,6.12,5.02,4.11,3.59,3.12,2.98,2.85,2.8,,,AFK
AFLG,Large Blend,First Trust,Exchange Traded Fund,0.0055,0.48,130439.41,0.0011999999,0.9988,0.0,0.0,0.0,0.0,0.04888,0.25459,0.49645,0.06839,,,,,,,,,,,,,,0.0,0.0375,0.0938,0.0233,0.06,0.3049,0.0928,0.1234,0.0505,0.084,0.0339,0.0958,AAPL,NVDA,MSFT,META,AMZN,GOOGL,CSCO,MO,NRG,GILD,6.41,5.23,4.93,2.48,2.06,1.88,1.35,1.29,1.2,1.2,AFLG
AFMC,Mid-Cap Blend,First Trust,Exchange Traded Fund,0.0064999997,0.6,7491.61,0.0014,0.9985,0.0,0.0,0.0,0.0,0.06886,0.48898,0.84046,0.10442,,,,,,,,,,,,,,0.0,0.0692,0.1416,0.0318,0.0665,0.1533,0.0324,0.1696,0.025899999,0.15720001,0.0418,0.1106,UNM,SFM,EXEL,UTHR,ORI,NFG,UGI,FFIV,MTG,IDCC,1.7,1.55,1.49,1.41,1.29,1.2,1.2,1.18,1.14,1.09,AFMC
AFSC,Small Blend,abrdn Funds,Exchange Traded Fund,0.0064999997,1.1,3497.61,0.0097,0.9903,0.0,0.0,0.0,0.0,0.05692,0.39462,0.43191,0.07435,,,,,,,,,,,,,,0.0,0.0369,0.114700004,0.0535,0.0602,0.1579,0.0116,0.17809999,0.0396,0.1547,0.032899998,0.16,OGS,LRN,WTFC,QTWO,REVG,CWST,WSFS,VERX,KNF,ANIP,3.92,3.44,3.21,3.2,3.2,3.19,3.05,3.04,3.01,3.0,AFSC
AFSM,Small Blend,First Trust,Exchange Traded Fund,0.0075,0.79,2429.81,0.0011,0.9988,0.0,0.0,0.0,0.0,0.07391,0.56376,1.10349,0.12529,,,,,,,,,,,,,,0.0,0.035,0.1121,0.039300002,0.082100004,0.15359999,0.020599999,0.184,0.0094,0.1659,0.04,0.15810001,CRS,IDCC,CPRX,SKYW,SFM,CORT,TBBK,GRND,EAT,PFBC,1.33,1.22,1.15,1.03,1.02,1.01,0.96,0.86,0.83,0.82,AFSM
